number,name,rating,translated_text
1,Tien Seng,4,"I had a great time here! The food was pretty good, especially the fried items that were crispy and flavorful. 🍤 The staff were super friendly and attentive, making the visit really pleasant. 😊 The atmosphere was nice and comfortable too. Definitely a good spot for a meal! 🍣✨"
2,之家爱,1,The worst sushi mentai I have ever eaten
3,Gtf,1,"My experience at this restaurant was quite disappointing. 😟 Upon entering, despite no queue, I was informed there was no Wi-Fi to order. 📶 It was frustrating to be told I had to use my own phone to place an order. 😠 The lack of basic service was a major drawback. 🤦‍♀️"
4,11 Britney,2,"The quality control of the food needs to be strengthened, and the food will look ugly.I asked for sushi but it didn't come for a long time. I asked the service staff and he said he didn't see the sushi being placed there before he brought it to me. Lack of manpower is also a big problem."
5,Jen Yee,3,"If the ingredients are sold out that day, a notification can be given to the customer when they come in instead of being informed after ordering that the ingredients are not available. It is a miracle that the service can still maintain 4.1🌟

So many employees were talking and there was no notice. Only one informed us that there was no salmon during the second round of ordering. Please, the service can be better."
6,Li Chieh Tan,5,"I have been here many many times already. In my mind, Sushi Mentai is the best CP value Japanese sushi shop in Melaka. Always my go-to shop when I crave Japanese food. The food is delicious and at a reasonable price. The sushi has a lot of variety, really fulfilling and delicious. The service also very good, the workers are very diligent, hardworking and fast in movement.
Just one comment...the sauce plates some times still have soy sauce stains. However overall 10/10"
7,Chee Wei Tey,5,There are many people every day.
8,Penhog Hedge,1,"Used to be my favourite place to eat sushi. I don't mind they raise their price. But they also lower their quality. The sushi belt no longer have real sushi. It is mostly filled with fried eggs, fried potato. All the salmon and other fish have to be order from their QR. Then it needs more than 10 minutes just to serve my salmon. The worker are often looking grumpy. Whenever I try to call them for count plate and ask where's my QR order sushi, they will ignore me and only staring at the floor."
9,Chee How,1,"A Chinese uncle's attitude needs to be improved.
Very unfriendly to children!"
10,Explore,3,"Food just average, sitting arrangement a bit narrow for me, a bit hard to get parking, but just wonder why always see the que waiting for the sitting. For me, it's just average
Servicing crew just serve what is basic, lack of the Japanese feel"
11,Suong Pham,4,Hopefully the restaurant will clean the tableware before serving customers; many dishes are still not thoroughly washed!
12,Claire Hoo,1,"I wanted to order salmon at a Uzumaki sushi restaurant, but all the salmon was not available. I came 10 times and 9 times it was not available. They did not announce it in advance and said it was not available. The mood for eating was all gone."
13,Jia Ying Lee,2,"Visited the restaurant near closing time. Staff said it was ‘last call’. Unfortunately, the food came out stone cold and prepared very carelessly, portions looked rushed, no attention to detail. I understand it’s the end of service, but if accepting one more order means the quality drops this much, it’s better to stop accepting customer. Paid for a proper meal but got a poor experience. Hope they improve this"
14,J “thebluemanintheforest” Nob,2,Unbelievable staff.
15,Cheong Wan Ning,1,"Horrible chicken is not even cooked properly, fried food is soggy"
16,Eric Lee Chee Siong,5,Reasonable price and the portion of the main dish are a lot.
17,Lovely Szb,4,"The menu is hidden, many unique sushi are not available, so I am a little disappointed with the lack of choices😞"
18,Paul Lim,4,"Sushies r delicious & affordable but the hotae rice is very normal, used to be tasty"
19,ian abd,5,"fast service, as always, affordable"
20,Luke Lim,5,"A good variety of Sushi, with affordable prices. Worth to visit."
21,拽拽,1,"As soon as I entered the store, the waiter threw water on me. He didn't even apologize. He was still laughing with other people there. I don't know if he didn't pay attention or something. Then he called the waiter and he didn't come for a long time. I didn't know what to talk about there and laughed so happily. The food came out and it was a ""surprise"". All the plates, bowls and cups were made of plastic. So many people come every day. No money?Can't afford a bowl?Not available?There are so many waiters that they can’t wash the dishes?It's only because your products are cheap that so many people come. The service is terrible."
22,yong alice,3,"As for the sanitary conditions, I always feel that tables, sauce bottles and other public items are sticky.The seats are very close to those seated next to you, so it is inevitable that you will be noisy.The food is not as good as before and there are fewer choices. The quality is so so.The price is affordable!"
23,"Datuk Anthony Adam Cho, JP",5,"Food prices is very reasonable. Due to huge crowd, services may be compromised. Food quality is good."
24,SH lI,3,"Not consistent
Sometimes sushi rice undercook sometimes sushi rice too much
Service became less interactive
Ordering set meal using QR
Ordering sushi not on belt using paper sheets. Before pay need to ask for calculate exact amount of plates.
Affordable Japanese sushi restaurant is becoming more to compete."
25,steward tan,4,"Good place, need to q, good price, value for money, over the years, quality well controlled. Still worth to revisit."
26,Ming Zheng Lim,5,"The service attitude is very good. When you come in, you are very ""polite"" and ask you to sit at your seat. After you have written the form, no one can help you and you have to take it yourself. It is very user-friendly. The food is also very delicious. The edamame is as hard as a stone and it also exercises your teeth. 👍"
27,Kaithri Jiva,2,"9pm start to close shop already..
Seri Kembangan branch is the best!"
28,How Cherry,1,I ordered steamed eggs today and they were cold. I felt a little uncomfortable after eating them and vomited them twice. I hope I can pay more attention to them in the future 🥲
29,May Lim,2,Got one botak staff very rude attitude when serve customer. Disturbing & asking customer to put the ultery for him in impolite way. More than 2 times already & suspect purposely do it. Is it the customer responsibility to do job for staff?
30,william li,1,"Tried every outlet, first time coming to this outlet, gave me the qr code and just let myself look for the table, plate cracked at the corner. Staff wearing slippers at work, potato size is very oversize and a little undercook shown in photo below, sauce plate was so dirty, given the answer is “we use machine to wash the plate” very dirty. Ordered special sushi that is not in the menu “fried maki” at 7:15pm and was told the special maki can't be serve, only sell at morning and afternoon.  Had a very bad experience and very disappointed in the service, some staff don't even wear uniform at work"
31,Jo Way,5,Always
32,ng,4,"The food is very delicious, and there are many new dishes. Every new dish is delicious. If you don't care about service or the restaurant environment, you can come here for their food.Because their waiters always have dark faces and put the food on the table very hard when they serve it, as if they are complaining to us about their negative emotions 😂 Also, they always make a lot of noise when they clear the dishes and pour them into the basin. The collision of the dishes is very harsh and noisy, not once or twice, but very often.Also, their hygiene is not very good. The floor and chairs are very dirty. When they put the transparent cover on the sushi, they used the same rag and I didn't see them washing it."
33,Mike G,5,Excellent food overall. Been here many times.
34,Nataniel Hope,5,Like it.  The decoration are nice any relaxing. You can enjoy your meal without rush. The parking area are quiet enough. They serve you friendly and your order will be fast ask they place your order systematically.
35,Andrew Yx,4,"The food is affordable and tastes good, and I’ve been eating here for many years.
However, the staff at this branch really have very poor service attitude. They keep chatting with each other and don’t pay attention when we call them. Every time I come here, it’s the same experience… really disappointing."
36,steve chan,1,"I don’t know what to say, I have to experience it myself"
37,小星球,1,Wrong calculation for the second time!
38,N Yk,5,Delicious👍
39,Angel Bong,5,A good choice of dining place
40,Fong lai Alexis,1,"I came twice and the receptionist didn't look good both times. She didn't want me to come in even though she was seated, and she continued to make me wait outside."
41,Moby,1,"The service is so bad~ I checked to see if I had entered the computer to order the food. After entering it once for a long time, I still missed the order.Even when serving dishes, there may be problems.There was no polite answer either.We ordered 8 glasses of water and only 4 glasses came. When we asked politely, they just answered how many more glasses there were."
42,Amira Amin,3,I love this sushi but take away condiment is too little.
43,LT Wong,5,"On Wednesday 2nd July 2025, we visited Sushi Mentai in Malim Jaya. Surprisingly, at 6:30 PM, we were able to get seats without having to queue, which is uncommon as there’s usually a queue of 3 to 4 tables by 6 PM on weekends.

Our all-time favorite is the SP12, which is salmon topped with some crunchy tempura and cucumber. The taste is delightful, especially after 80% of the salmon surface is lightly torched. It’s a dish we always enjoy.

The space, however, is quite cramped and narrow, leaving little room for children to move around. It’s something to consider if dining with kids.

As for pricing, each red plate costs RM3 and each yellow plate is RM2. Hot tea is priced at RM1 per glass. For a total of 12 red plates and 7 yellow plates, shared among three adults, our total bill came to RM60. It’s a pretty affordable option for Japanese food."
44,Zhe Wei Teoh,1,"I ordered a bowl of noodles. The noodles were ready, but no one went to get them. After waiting for a long time, I found that the noodles were ready at the door of the meal. The noodles were cold. I talked to the waiter, but the waiter replied o ."
45,Yunice,4,A solid option for affordable yet quality sushi in Melaka
46,Jin Lim,2,"Staff super unfriendly, as if the customers owe them money. The menus weren't even taken away when the food was served. Waiters who served our food basically shoved it onto our table. We ordered a side dish and IT WAS PASSED TO US OVER THE CONVEYOR BELT. Absolutely terrible service.

If the service was bad and the food was good, it might be excusable, but the food was not even good. The ramen broth was water, lacking in flavor. The ramen itself has this weird soggy texture.
Side note: I wish they would separate the tempura from the udon. It's one small thing to do that's logical.

The only redeeming quality is the price. It's cheaper than a lot of the Japanese places in Melaka. But if I were you, I wouldn't waste this money."
47,AllwithMuniq,4,"Reasonable price !

They put so many tables and really packed with customers, feels like we were dine at foodcourt"
48,WenXing Li,4,"Nice clean environment.
Value for money."
49,kelly wee,1,This is my first time and my last time here. The service attitude is so bad...the staff is not polite to take the order and just pull it..I am impatient...I am a bit fat with glasses and blue clothes..Isn't it that I come here to eat for free and get paid...as if we customers owe you...
50,gan km,3,"Place is small, very congested ,aircond not cold enough.  Food is OK."
51,Miu JL,5,"This sushi restaurant offers a wide selection of sushi at reasonable prices, all within a cozy atmosphere and with friendly service."
52,Grayson Gan,2,"I had lunch today at Sushi Mentai (Malim branch) and unfortunately, the experience was quite disappointing. The sushi rice was a bit hard and loosely packed (松散), which affected the overall texture. The wasabi also lacked flavour. Service-wise, the staff's attitude left room for improvement, and the serving speed was very slow. I hope the management can look into these issues to improve the dining experience for future customers."
53,Tootuu,2,"The food here is tasty and affordable. But, for the business owner,please take note of your restaurant condition and staffing needs. When afternoon comes, with Malaysia's hot weather. Your four big airconds no longer functioning well. Even more when the restaurant is loaded with people(full house). The seating arrangement is too crowded, not suitable for families with small kids. You want to earn so much at one time by putting such many seats. But, the comfort level is compromised. Your staffs weren't happy working, all drenched with sweat. They also quarreled in front of customers. How can they prepare hygienic food and provide quality services?the dirty used mop is left near the sink area at the toilet entrance. A small girl who just wanted to go for a hand wash got their dress all wet from the dirty mop. Oh my God. Horrible experience coming here. I think I made a written-complaint before regarding the facilities and services, but seems like no actions taken. Today, I decided to take this to google review. One day, your business will suffer if you let these petty issues prolong,without putting your customers'and staffs' needs first."
54,CY KK,2,"The prices are affordable and the food is ok. However, there was a bad smell coming from the trash bin, which was noticeable during the meal. One of the staff used the same cloth to wipe both the table and the chair cushions. I reminded the staff on the spot not to do that, but he ignored me and continued wiping several chairs. Some chairs had a lot of food crumbs, and the staff wiped the entire surface, while for others, he used the cloth to pick up the crumbs directly."
55,Na Zhiyun,4,Food is good and feels fresh
56,Seok Boon Tan,5,"Delicious food, served quickly and reasonably priced"
57,LeeZi Lee,5,Good service
58,Chelsea Lee,4,Everything is reasonable because of the price😁😁😁😋
59,Lee Jian rong,1,The service attitude is very bad. There are hairs in the rice. I don’t like the attitude of the waiter the most.
60,Chris Lee,5,Going to this place and was expecting sushi king standard didn't expected it to be good. I was wrong. Very decent sushi joint I would judge it to be better than Sushi-Go in Singapore.
61,Ahnee Queenie,1,"The table was smelly 🥲
the food was not fully served even after ordering, it took a long time to serve
food quality wist downzzzz"
62,Don Moghost,5,Affordable Japanese food at a reasonable price. Friendly staff and good service.
63,nadzirah mohammad,4,😍😃 so happy
64,阴冷,5,like usual always came here for meal
65,咲萱,3,"The advantage is that it is cheap and tastes pretty good.The service is okay. I have encountered waiters who are angry with customers and I have also seen waiters who are warm and considerate. It depends on your luck.
There is no atmosphere at all. Cheap and big bowls are the reason why his business is booming."
66,Yan TieZheng,4,"This is the most popular Japanese sushi restaurant in Malacca. The price is affordable (it is much cheaper than traditional Japanese restaurants) and it is suitable for the whole family to eat together. Therefore, there are many people at different times of the day. There is even a queue during meal time. There are often many people sitting and waiting outside the store.

The taste of the food is not exquisite or amazing, but it is still satisfactory and satisfying.

The price of the revolving sushi is very cheap. I like the various snacks here (fried food, steamed eggs, egg rolls, etc.). I don’t like the taste of ramen very much. Rice would be better. It depends on personal preference."
67,Jean Tan,5,Value for money sushi.
68,Annalee Siew Cheng,1,"After pick up kids from school , just want to have a relaxing lunch with my kids at Sushi mentai,  but so disappointed it's super annoying environment when dine in. The staff clearing table with throwing all plates and cutlery into the tub , makes the whole place full of the noise, the sounds like breaking plates and staff pull the chairs also very hard. I'm sitting next to the table he clearing,  it's so desperate and he do it like no body business.  We as customer dine in , and as staff you want clearing should do it lightly,  then only we felt calm. Even I want to answer a call also need to walk out from the restaurant.  Really unbelievable, hope management of Sushi mentai will make changes about this part ."
69,jkhai,1,"Cold food, hard rice, no any extra services but with 10% service tax, crowded n narrow dining place"
70,Yasir Rafeek,5,The food was really great. I had a wonderful vibe and enjoyed my time at the restaurant. Slowly starting to love Sushi and Curry Udon.
71,CSB,2,"My fried katsu was served cold, I was expecting it to be fried hot and fresh."
72,mingswee Chai,1,"This is not the first time food missing!!!!
Always shortage when we order take away!!!!"
73,MarCo Tan,5,Always my favourite for kids and family
74,Baal,4,Halal and good. Wish they have coca cola 😊
