number,name,rating,translated_text
1,Wej Chyi Ken,5,"Too squeeze inside, sound proof also not very good. Difficult to chat with the persons who same table. The food is nice and service is good. Hope able upgrade the environment in future."
2,hannahh,4,the food is soo generous and the servers are so attentive but the venue is small and kinda claustrophobic 😀
3,Robin Lau,2,"Food is not bad, but price is slightly higher. New place, environment is good. It was previously located in malim, i commented to them about their sushi rice bland flavour and they still serve the same flavour. Workers are all polite.

ADDED: Came since last time, waited one hour for my grilled squid and we finished all our dishes for 30 mins"
4,Yeanching,5,"Good service and fast food. The price of oysters is slightly high.
You need to plan your meal time because there are too many customers."
5,Kai Chee Too,5,A new Japanese restaurant at malim area.  Serve a lot of variety of japanese cuisine. Food are delicious and well presentation. Reasonable pricing.
6,Aaron Lee,5,Great services and good Japanese food here.
7,Lina Puah,5,"Sushi San is another Japanese restaurant in the Malim area, and it’s a pleasant place for a relaxed Japanese-style meal. The moment we walked in, the staff were warm, friendly, and welcoming, which made the experience comfortable from the start. They offer a wide variety of Japanese dishes, including many individual set meals, which is great for solo diners or anyone who wants a complete meal without ordering too much.

What really stood out is their salad selection. They probably offer one of the widest ranges of salads among Japanese restaurants in Melaka. The portions are generous, and the salads are filling enough to be enjoyed as a light meal on their own. This is a nice option if you want something lighter or more refreshing.

I had already eaten a bit before dinner, so I didn’t order too many dishes. Still, everything arrived quickly, which I appreciated. Besides the usual green tea, they also serve genmaicha (roasted brown rice tea), which adds a nice Japanese touch.

The restaurant interior has a clean and cosy izakaya-style vibe, making it a comfortable place to hang out with friends or family. Overall, Sushi San offers a pleasant dining experience with good variety, fast service, and a friendly atmosphere. It’s definitely a nice addition to the Japanese food scene in Malim."
8,KHOO LI JUAN,5,Not bad~
9,Jun Feng,5,"Sushi San is an advanced japanese food restaurant just migrated to Kota Syahbandar. The food their serving are extremely good. Waitresses are very welcoming, attentive and patient in explaining to make sure you have the best dining experience!"
10,希爾威思特,5,"Rich menu choices, good food taste and service"
11,Ee Han Ong,5,Nice food and service. With a nice birthday platter.
12,Sky Teow,4,Good environment and foods is overall good for all items I had orders .
13,Sun Ng,5,Nice food
14,Fen Private,1,Super irresponsible shop! Keep changing address and never update. Wasting ppl time.
15,Grace Lim,5,The food was delicious and the service was excellent.
16,Tong Mun Kit,5,"Celebrated my father's birthday here. Fantastic experience, service were excellent.
Nice environment, friendly staff and delicious food."
17,Jack Lim,5,The landlady is very kind and beautiful!The food is also delicious
18,Jonathan Lee,3,"Dined here as a big group of 10. The food, unquestionably, was of good variety, tasty, and of good value. However, the service left much to be desired. Our orders were mixed up, and we had to signal repeatedly for wasabi and pickled ginger. The surroundings weren't great too as it was quite loud in the shop and the lazy susan in the middle of the table made it not conducive to dine our teishoku sets. Overall, much space for improvement."
19,Zyong Tan,5,Nice food and good service.
20,yu ting Chin,5,"Nice food, good service, celebrate birthday here"
21,cj7 tan,5,Beautiful environment and delicious food
22,AH JIA,5,Great service and delicious food🥰
23,LimKoppi,3,Food is ok.Mainly because Malim has a good location.
24,허태경,5,The atmosphere is nice and the food is clean and delicious.
25,steve chan,4,"The food is delicious, but it seems a bit unwelcoming to obese people"
26,Eason Loh,5,"Had my kid’s birthday celebration here. We were surprise by the present from the restaurant. Fantastic experience, service were excellent."
27,ryant,4,Very friendly and polite staff.
28,Martin Soon,5,"Visited this Japanese restaurant recently and had a pleasant experience overall. The food was okay — the standout items were definitely the fresh uni and salmon sashimi, which were both of great quality. The atmosphere was cozy with nice vibes, making it a comfortable place to enjoy a meal. Service was excellent, staff were friendly and attentive, and food was served very quickly without much waiting time. Overall, it’s a good spot for a casual Japanese meal with efficient service and a welcoming environment."
29,Cheng Kui Tay,5,It would be better if the business starts at 11:30 on Saturdays and Sundays🙏
30,cheryl chew,5,"The sashimi is fresh, good service and nice environment"
31,Andrew Tan,4,"Overall experience quite good, food ok. Just need wait a bit peak time."
32,Chantel Beh,5,"Food is delicious and affordable. The portion is also quite big, which we didn’t expect to not be able to finish 😭😂 overall the dining experience was very satisfying definitely coming again next time 👍"
33,Chelesea,5,AMAZING FOOD + GORGEOUS INTERIOR + LOVELY STAFFS 🤤💗 10/10!!! definitely recommend
34,Zaito,4,Food is good but still have room for improvement
35,Chia Hon Tan,5,Excellent services with delicious food
36,Sara Kuah,5,"The food is delicious. I usually choose this restaurant when eating Japanese food.
If you spend a certain amount recently, there will be a lucky draw."
37,Wui WenYing,5,"Had an amazing dining experience at Sushi San Melaka. Delicious food, cozy ambiance and great service. Highly recommend!"
38,Ben Ong,5,Nice food and good service
39,m f,5,"I have visited here several times and the food never disappoints me. The cuisines are basically delicious.

What makes me decided to post a review is because of this. I made a last minute reservation a day before a birthday surprise and had also made a special request for the staff to help decorate the private room. I passed my decor stuff and left due to time constraint, and I didn't expect they are so skillful in decors!

They are so helpful. One of the number balloons was burst before we reached the restaurant. The owner called me to ask me whether I have more spare number balloons. I didn't have one. She went out to buy for me 🥺🥺

Thank you Sushi San! Top notch food and team! ❤️❤️"
40,Corly Mika Lee,5,"Love their food.
.
Japanese food that everyone will want to eat when visiting Malacca.Friends who like sashimi, don’t miss the #sashimi # recommendation here. The cut is top-notch.Delicious and thick, every bite is full of deliciousness, and every bite has a smooth and tender fish texture.# delicious 😘😋
.
Ps: It is worth mentioning that their takeaway food is packaged with care and is equally delicious.#sincerelyrecommended"
41,Jayron Chong,1,"Bad service and bad attitude , food are so so only, not fresh and price at high side

Can’t accept customer comment then dun open shop. Ur staff behave like this still like ntg wrong with ur staff, look at his tone of voice when answering me. Patient ? This call patient ? After my son took ur food then got diarrhea d. This is so call fresh ?
Adjust the price ? Did I ask to adjust? What a joke. Halo, ask ur staff properly ok."
42,Ben Tan,3,"Quality of the food score about 2.5/5 stars ..
Raw food got room to improve. ..
Service recovery excellent.. they know how to make a good service management."
43,Y O,3,"Food is alright, but there are other better options for Japanese cuisine in Melaka.

1. Ramen - Broth tasted alright, not too salty 👍🏻

2. Pork cutlet - Pork was thin for this price. Other restaurants serve thicker slices for this price 😅

3. Grilled chicken - This was the nicest food we had at Sushi San!

4. Pizza - Tasted alright, no wow factor to it

5. Ramen + grilled salmon - Not worth it, salmon was super small for the price charged.

6. Sushi - Sushi rice was under-seasoned? Not sure if it was the day we went only or it does taste like this on any other days.

7. Japanese rice - Very soft and sticky, again, not sure if it was the day we went only or it does taste like this on any other days.

8. Ambience & service - Environment was nice, we were able to have our own space to eat upon request. I appreciate that ☺️ service was considered good too as the waitress did constantly come to check our tea and refilled it for us"
